name,description,category,brand,product_details,average_rating,reviews_count,price
"Authentic Organic Bali Byzantine Chain Necklace, Medium (25cm) — Silver Jewelry","This Organic Bali Byzantine Chain Necklace is meticulously crafted by skilled Mas Village artisans using 925 Sterling Silver. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Mas Village, Bali, Indonesia with international tracking.",Silver Jewelry,SukawatiDesign,"ArtisanMade, OrganicBali, WoodCarving, EcoFriendly, SilverJewelry",4.54,130,525.59
"Rare Ubud Art Buddha Relief Panel, XL (60cm) — Wood Carving & Sculpture","Ubud Art Buddha Relief Panel — A masterpiece of Batubulan heritage. Made from ethically sourced Coconut Shell, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Batubulan workshop.",Wood Carving & Sculpture,KlungkungHandmade,"RattanBag, WoodCarvingSculpture, WoodCarving, IndonesianCraft, UbudArt, BalineseJewelry, BalineseMask, SustainableWood",4.64,20,300.96
"Handcrafted Balinese Craft Dragon Bone Bracelet, Mini (10cm) — Silver Jewelry",Discover the soul of Bali with this Balinese Craft Dragon Bone Bracelet. Hand-finished by our Tegallalang cooperative using sustainable Rattan & Bamboo. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Silver Jewelry,UbudHeritage,"TraditionalBali, OriginalArt, HomeDecor, GiftIdea, BalineseCraft, WoodCarving, EcoFriendly, SilverJewelry",4.77,322,566.8
"Unique Balinese Heritage Byzantine Chain Necklace, Small (15cm) — Silver Jewelry","Balinese Heritage Byzantine Chain Necklace — A masterpiece of Tegallalang heritage. Made from ethically sourced Waru Wood, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Tegallalang workshop.",Silver Jewelry,BaliCreativeHouse,"RattanBag, OriginalArt, TropicalDecor, BalineseHeritage, SpiritualDecor, WallDecor, WoodCarving, SilverJewelry",4.64,666,800.0
"Authentic Balinese Heritage Turquoise Silver Bangle, Medium (25cm) — Silver Jewelry","Bring the essence of Ubud Art into your home with this Balinese Heritage Turquoise Silver Bangle. Produced in small batches in our Gianyar studio, using time-honored techniques passed down through generations. Cempaka Wood sourced responsibly from local forests. Certificate of authenticity included.",Silver Jewelry,GianyarBoutique,"TropicalDecor, BalineseHeritage, IndonesianCraft, GiftIdea, BalineseJewelry, BalineseCraft, SilverJewelry",4.99,899,364.7
"Cultural Bali Artisan Honey & Spice Incense, Standard (30cm) — Incense & Aromatherapy",Discover the soul of Bali with this Bali Artisan Honey & Spice Incense. Hand-finished by our Mas Village cooperative using sustainable Suar Wood. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Incense & Aromatherapy,SanurHeritage,"RattanBag, TraditionalBali, CulturalHeritage, IncenseAromatherapy, BaliStyle, BaliArtisan, SilverJewelry",4.7,585,21.35
"Traditional Traditional Balinese Three-Eyed Leyak Mask, Mini (10cm) — Masks & Folk Art","Bring the essence of Ubud Art into your home with this Traditional Balinese Three-Eyed Leyak Mask. Produced in small batches in our Mas Village studio, using time-honored techniques passed down through generations. Rattan & Bamboo sourced responsibly from local forests. Certificate of authenticity included.",Masks & Folk Art,BaliCraft,"GiftFromBali, UniqueGift, ArtisanMade, IslandCraft, BaliArt, BalineseJewelry, MasksFolkArt, TraditionalBalinese, EcoFriendly",4.93,327,400.0
"Rare Balinese Heritage Golden Lotus Relief Panel, Decorative (20cm) — Wall Art & Panels",Discover the soul of Bali with this Balinese Heritage Golden Lotus Relief Panel. Hand-finished by our Ubud cooperative using sustainable Coconut Shell. Every detail honors the traditional motifs of Balinese Hinduism and nature. Exported worldwide from Bali with competitive international shipping.,Wall Art & Panels,SukawatiArt,"RattanBag, TropicalDecor, BalineseHeritage, ArtisanMade, WallArtPanels, BaliStyle",4.56,647,462.34
"Unique Balinese Craft Bali Boho Clutch, Decorative (20cm) — Rattan & Woven Bags",Our Balinese Craft Bali Boho Clutch embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Batubulan using premium Ebony Wood. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Rattan & Woven Bags,MasWorkshop,"BohoDecor, HomeDecor, TropicalDecor, UbudArt, RattanWovenBags, HandmadeBali, BalineseJewelry, BalineseCraft, BalineseMask, EcoFriendly",4.58,1104,69.19
"Elegant Handmade Twin Dragon Naga Panel, Small (15cm) — Wall Art & Panels","Bring the essence of Ubud Art into your home with this Handmade Twin Dragon Naga Panel. Produced in small batches in our Gianyar studio, using time-honored techniques passed down through generations. Waru Wood sourced responsibly from local forests. Certificate of authenticity included.",Wall Art & Panels,BaliDesign,"RattanBag, SpiritualDecor, CulturalHeritage, ArtisanMade, WallArtPanels, Handmade, EthnicArt, BaliHandmade, WoodCarving, EcoFriendly",4.88,973,413.17
"Handcrafted Bali Artisan Songket Weave Cloth, XL (60cm) — Batik & Textile",Our Bali Artisan Songket Weave Cloth embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Batubulan using premium Natural Rattan. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Batik & Textile,KlungkungArtisan,"TraditionalBali, OriginalArt, TropicalDecor, SpiritualDecor, BatikTextile, CulturalHeritage, BaliArt, HandmadeBali, BaliArtisan, SilverJewelry",4.62,346,53.54
"Handcrafted Balinese Craft Dancing Legong Dancer, Small (15cm) — Wood Carving & Sculpture",Our Balinese Craft Dancing Legong Dancer embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Ubud using premium Volcanic Sand & Stone Resin. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Wood Carving & Sculpture,SanurBoutique,"TraditionalBali, BohoDecor, TropicalDecor, WoodCarvingSculpture, UbudArt, EthnicArt, BalineseCraft, HandCarved, WoodCarving, SilverJewelry",4.83,1104,255.5
"Artisan Traditional Balinese Peridot Dangle Earrings, XL (60cm) — Silver Jewelry","This Traditional Balinese Peridot Dangle Earrings is meticulously crafted by skilled Sukawati artisans using Rattan & Bamboo. Each piece is unique, bearing the authentic spirit of Balinese culture. Ideal for home decoration, gifts, or spiritual practice. Ships directly from Sukawati, Bali, Indonesia with international tracking.",Silver Jewelry,SukawatiArtisan,"CulturalHeritage, SustainableWood, IslandCraft, EthnicArt, TraditionalBalinese, WoodCarving, SilverJewelry",4.53,447,462.73
"Elegant Eco-Friendly Ata Vine Market Basket, XL (60cm) — Rattan & Woven Bags",Our Eco-Friendly Ata Vine Market Basket embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Tegallalang using premium Waru Wood. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Rattan & Woven Bags,BaliCraft,"UniqueGift, IndonesianCraft, RattanWovenBags, Eco-Friendly, BalineseJewelry, SilverJewelry",4.83,60,33.62
"Artisan Eco-Friendly Natural Straw Beach Bag, Small (15cm) — Rattan & Woven Bags","Eco-Friendly Natural Straw Beach Bag — A masterpiece of Mas Village heritage. Made from ethically sourced Ata Vine, this item reflects centuries of Balinese woodcarving and craft tradition. Perfect for collectors and cultural art enthusiasts. Packaged with care from our Mas Village workshop.",Rattan & Woven Bags,GianyarCraft,"BohoDecor, SpiritualDecor, CulturalHeritage, RattanWovenBags, Eco-Friendly, WallDecor, BalineseJewelry, BaliStyle, HandCarved",4.99,1863,36.94
"Cultural Bali Artisan Braided Jute Handbag, Standard (30cm) — Rattan & Woven Bags",Our Bali Artisan Braided Jute Handbag embodies the artistic spirit of Bali Sustainable Craft. Carved or woven by hand in Ubud using premium Waru Wood. The perfect expression of Balinese Craft for modern interiors. Shipped from Bali with full tracking and eco-friendly packaging.,Rattan & Woven Bags,UbudArt,"IndonesianCraft, RattanWovenBags, ArtisanMade, BaliArt, GiftIdea, BalineseJewelry, BalineseCraft, BaliHandmade, BaliArtisan, EcoFriendly",4.53,1952,66.06
