product_name,price,description,source,tags
Wooden Chair,50.0,Solid wood,Amazon,balinese craft
Silver Ring,25.0,925 silver,Amazon,balinese craft
Batik Shirt,35.0,Handmade batik,Etsy,"clothing, handmade"
Hand-painted Bali Batik Sarong,92.65,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Traditional Endek Woven Scarf,103.19,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Macrame Boho Wall Hanging,74.01,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Ubud Carved Teak Wood Wall Art,142.08,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Ubud Carved Teak Wood Wall Art,135.03,"Authentic Balinese craft, handmade with love by local artisans in Sukawati, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"boho decor, macrame, bali"
Handmade Celuk Silver Ring,57.39,"Authentic Balinese craft, handmade with love by local artisans in Kuta, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ubud Carved Teak Wood Wall Art,17.05,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Traditional Endek Woven Scarf,123.22,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Bali Silver Pendant 925,25.22,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"bali craft, handmade, silver"
Handmade Celuk Silver Ring,45.32,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"rattan, eco friendly, bag"
Ubud Carved Teak Wood Wall Art,52.75,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Ata Grass Rattan Bag - Gianyar,81.25,"Authentic Balinese craft, handmade with love by local artisans in Ubud, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
Macrame Boho Wall Hanging,54.34,"Authentic Balinese craft, handmade with love by local artisans in Denpasar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Ubud Carved Teak Wood Wall Art,47.59,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"wood carving, ubud, decor"
Organic Coconut Shell Bowl,123.91,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"jewelry, celuk, 925 silver"
Hand-painted Bali Batik Sarong,59.31,"Authentic Balinese craft, handmade with love by local artisans in Celuk, Gianyar, Bali. Perfect for your collection or as a gift.",Synthetic_Bali,"textile, batik, bali, handmade"
